Common Name,Botanical Name,Family,Description
Arizona Cypress,Cupressus arizonica,Cupressaceae," Arizona Cypress is a medium-sized evergreen tree with a conic to 
ovoid-conic crown. It grows to heights of 10-25 m, and its trunk diameter 
reaches 50 cm. Leaves grow in dense sprays, varying from dull gray-green 
to bright glaucous blue-green in color. Leaves are scale-like, 2-5 mm 
long, and are produced on rounded (not flattened) shoots. The seed cones 
are spherical to oblong, 1.5-3.3 cm long, with 6 or 8 (rarely 4 or 10) 
scales, green at first, maturing to gray or gray-brown about 20-24 months 
after pollination. The cones remain closed for many years, only opening 
after the parent tree is killed in a wildfire, thereby allowing the seeds 
to colonize the bare ground exposed by the fire. The male cones are 3-5 mm 
long, and release pollen in February-March. "
Udipi Turmeric,Curcuma bhatii,Zingiberaceae," Udipi Turmeric is a threatened plant species. It is
the smallest southern Indian ginger family plant with a height of 12-15
cm, having short rhizomes. Leaves are narrow, long, arising from the
base. Flowers are borne on a spike atop a leafless flowering stem.
Flowers are yellow, with green leaf-like bracts. It grows in the
crevices of laterite rocks. It is found in a few scattered populations
in Udupi District, Karnataka State, which is its type locality. 
 "
Indian Arrowroot,Curcuma caulina,Zingiberaceae ," Indian Arrowroot is a annual herb growing upto 50-100
cm high. The plant has perennial rhizomes with many hanging tubers. Oblong
lancelike leaves are upto half a meter long.  Flowers occur in a spike
10-15 cm long, and are yellow or white. More prominent are the greenish
white or pinkish white bracts. Indian Arrowroot is grown for its tubors.
The powder from the root is used to make porridges  and eaten during upvas
in Kerala. "
Deceptive Curcuma,Curcuma decipiens,Zingiberaceae," Deceptive Curcuma is a rhizome forming herb,
rhizome 3-5 x 2 cm, ovoid-conical, pale yellow-white. Roots are fleshy,
root-tubers 2.5-3 x 2 cm, ovoid, white inside. Leafy shoots are 1-2 ft
tall. Leaves are distichous, 2-4, blade 10-30 x 5-15 cm, broadly ovate,
base slightly heart-shaped, tip triangular with a small cusp, hairless.
Leaf-stalks is as long as the blade. Inflorescences are both lateral
and central; peduncle 6-10 cm long. Flower spike is 4-6 x 2-3 cm. Coma
bracts are many, about 5 x 1 cm, lower green with purple tip, upper
deep purple-pink. Fertile bracts are upto 4 x 3 cm, tip broad, rounded,
recurved, green with purple-pink tips, minutely pubescent on the outer
surface, lower half fused; bracteoles small, outer 8 x 4 mm, inner 4 x
3 mm, triangular, light pink or white with pink spots, pubescent.
Flowers are 4.5 cm long, 1 or 2 in each bract. Calyx 1-1.2 cm long,
truncate, tip shortly 3-lobed, white with pink spots, minutely
pubescent. Corolla tube 2 cm long, funnel-shaped, deep purple; lobes
unequal, deep purple; dorsal lobe 1.5 x 1.3-1.5 cm, apiculate; lateral
lobes 1.3 x 0.7 cm, ovate-oblong. Labellum 1.5 x 1.5 cm, tip slightly
3-lobed, midlobe emarginate, purple towards base, glandular hairs on
inner side. Fruit is 1 x 0.5 cm, ovoid, hairy; seeds many, 5 x 2 mm,
oblong, brown with a white spot at the tip, aril white, lacerate. 
"
Rusty Wild Turmeric,Curcuma ferruginea,Zingiberaceae," Rusty Wild Turmeric is a large herb with large
rootstock bearing pale yellow stalkless tubers, which are fragrant
inside. Leaves are quite large, clustered, with a faint red-brown tinge
down the centre of upper surface, elsewhere bright green, 1-1.5 m long,
4-12 cm broad; leaf-sheath and sheath of pseudostem red or rusty-red.
Flowers are borne in a lateral spike apart from the earlier formed
leaves, 20-25 cm long. Bracts of coma are bright red; fertile bracts
all tinged with rusty-red. Flowers are longer than bracts, petals red.
Lip is about 1.5 cm in diameter, obscurely notched. Rusty Wild Turmeric
is found in India to Burma. Flowering: June.  
"
Turmeric,Curcuma longa,Zingiberaceae," Turmeric is a rhizomatous herb, native to tropical South Asia. Turmeric is 
a very important spice in India, which produces nearly the whole world’s 
crop and uses 80% of it. The plant grows to a height of 3-5 ft. It has 
oblong, pointed leaves and bears funnel-shaped yellow flowers, peeping out 
of large bracts. The rhizome is the portion of the plant used medicinally. 
It is usually boiled, cleaned, and dried, yielding a yellow powder. Dried 
Turmeric root is the source of the spice turmeric, the ingredient that 
gives curry powder its characteristic yellow color. Turmeric is used 
extensively in foods for both its flavor and color. Turmeric has a long 
tradition of use in the Chinese and Ayurvedic systems of medicine. "
Mountain Turmeric,Curcuma montana,Zingiberaceae," Mountain Turmeric is a perennial herb found in the eastern Himalayas 
up to NE India. Leaves are large, elliptic, similar to turmeric leaves. 
White flowers arise at the base. "
Nilgiri Turmeric,Curcuma neilgherrensis,Zingiberaceae," Nilgiri Turmeric is a dwarf plant with rootstock
smallm white inside. Leaves are lanceshaped, pale green, shortly
stalked. Leaves with stalks are a foot or longer. Blade is hairless,
narrowed at both ends. Flower spiked are 5-10 cm long, 3-5 cm in
diameter. Flowering bracts are pale yellowish green. Bracts of coma are
pink. 2.5-3.5 cm. Flowers are about 2.5 cm across. Petals are pale,
ovate, lip circular, deflexed, notched. Nilgiri Turmeric is found in
Western Ghats - Konkan region, Nilgiris. "
Jewel of Burma,Curcuma roscoeana,Zingiberaceae," Jewel of Burma is a  rhizomatous herb up to 3 ft tall.
Rhizome is ovoid without branches. Roots are many, penetrating deeply
into soil terminating with externally light brownish, hairless, white
internally. Leafy shoot is 1-3 ft, pseudostem 15-25 cm long formed by
leaf sheaths and a few sheathing bracts. The leaves are broadly ovate
to elliptic, light green with darker veins, and up to 30 cm long. 
Inflorescence is always central. Flower-cluster-stalk is 15-28 cm,
green, hairless, most of it hidden within the pseudostem. Flowers are
borne in spikes about 8-15 x 4- 7 cm, cylindrical, consisting of 15-45
bracts arranged in 3-5 serial rows, Coma bracts are similar in colour
and size to fertile bracts, sterile. 5-7, spirally arranged. Fertile
bracts obovate-spoon-shaped, about 3.5-4.5 x 2.5-3 cm, deep orange-red
in upper part gradually becoming yellow-greenish at their base. Flowers
are 4.5-5.5 cm long, cream-white with yellow in the centre of lip,
slightly protruding from the bracts, calyx white; flower tube creamy
white, lip creamy white with deep yellow patch in the centre. Jewel of
Burma is found in Andaman Islands, Myanmar and Thailand.  
"
Scaped Ginger,Curcuma scaposa,Zingiberaceae,"
Scaped Ginger is an erect perennial herb, 20-50 cm high, endemic to Goa and 
adjacent areas. It is considered threatenced and conservation measures are 
needed to save the plant. It has numerous oblong-lancelike leaves, 20-30 cm 
long. White flowers, 3-4 cm across, occur in terminal spikes 10-20 cm long. 
There are green lancelike bracts enclosing 2 flowers. The flowers have 3 
petals, one of which is 2-lobed. The plant produces red capsules, 1 cm long. Seeds are dark brown. It occurs gregariously on hill slopes. 
Flowering: September. "
Vaman Turmeric,Curcuma vamana,Zingiberaceae," Vaman Turmeric is a delicate herb with conical
rhizome, pseudo stem covered basally by leafless sheath. Flowers are
pale yellow on short spike with prominent cup like bracts. Leafy shoot
is up to 50 cm tall. Leaves are distichous, 4-5; blade 20-25 x 6-8 cm,
oblong, tip tapering, base nearly equal, closely pinnately nerved,
hairless; ligule small; leaf-stalk 20-30 cm long. Inflorescence is
central, 15-22 cm long, on a 10-18 cm long stalk, concealed within the
leaf sheaths, light green, hairless. Spike is condensed 2-4 x 2 cm,
distinct coma absent; bracts 4-8, loosely arranged, about 3 x 3 cm,
ovate to obovate, tip pointed, slightly recurved, each subtending 2-4
flowers. Flowers are shorter than the bracts, 1.8-2 cm long. Calyx
flat, 4 mm long, deeply 3-lobed, white, hairless, persistent.
Flower-tube is 8 mm long; petals almost equal, about 5 x 4 mm,
hairless, yellowish-white. Lip is about 8 x 7 mm, tip notched, lobe
rounded, margin crisped, golden yellow, hairy at middle. Style is 
long, thread-like; stigma slightly protruding above the anther. Fruit
is obovoid, about 10 x 8 mm, with persistent calyx.  Vaman Turmeric is
endemic to  Southern Western Ghats (Kerala). Flowering: May-July. 
"
Blue Fingers,Curio talinoides,Asteraceae," Blue Fingers  is an evergreen perennial
semi-trailing fleshy shrub up to 40 cm tall and up to 60 cm wide. Stem
is sparingly branched, erect, becoming procumbent and often rooting at
the nodes, fleshy and brittle, up to 1 cm in diameter. The leaves are
up to 15 cm long, up to 1 cm in diameter, slightly flattened above,
erect or arching, glaucous-grey with darker stripes. The small flowers
are white, followed by long thin wind-dispersed seeds. Blue Fingers is
native to South Africa.  
"
Golden Dodder,Cuscuta campestris,Convolvulaceae," Golden Dodder is a slender, leafless, parasitic
plant with yellowish or whitish, twining stems up to 2 m long and
forming dense patches up to 6 m across. The plant, being parasitic, has
no leaves.  Flowers are borne in lateral, usually compact spherical
clusters, 4-18-flowered, nearly stalkless. Flower-stalk is about 1 mm.
Calyx is cup-shaped, enclosing flower tube, about 1.5 mm; sepals 5,
oval or circular, sometimes wider than long. Flower are white, short
bell-shaped, about 2.5 mm, 4- or 5-lobed; petals broadly triangular,
tip pointed or blunt, often curled back. Stamens are shorter to longer
than petals. Greenish-yellow fruits occur intermittently along the
stringy vines. This plant invades a wide range of habitats, especially
river banks, other moist sites and irrigated crop lands. Golden Dodder
is native to the American continents, but widely naturalized. 
"
Rosy Dodder,Cuscuta capitata,Convolvulaceae," Rosy Dodder is a distinctive,	slender parasitic plant
with rose colored flowers. Stem is thin, brown to violet, making a few
spirals around the host stem. Leaves are oblong-elliptical, blunt,
1.5-2 x 0.7-1 mm. Flowers are rose-colored, borne in cymes or rarely
one at each node, covered with tiny nipple-like projections, stalkless,
2.5-3 mm long. Bracts are leaf-like. Sepals are 4, 1.5-3 x 0.8-1 mm,
oblong-lanceshaped, mostly pointed or sometimes pointed blunt, slightly
fleshy below, scarious above, mostly unequal, tube 0.5-1 mm long.
Petals are four, 2-3 x 0.5-1 mm, oblong-lanceshaped, pointed,
papillate, semi-fleshy, ivory white, tips slightly yellow; tube 1.5-2
mm long. Stamens are 4, filament linear, shorter than flower tube,
membranous, about 0.2 mm long. Ovary is globular, fleshy, thin. The
apical projection of the ovary is frequently confused with styles. Rosy
Dodder is chiefly found growing on low herbs. It is found in Pakistan
(Chitral), Kashmir, Ladakh, Zanskar, Afghanistan, N-India, Tajikistan,
at altitudes of 2000-4000 m. 
"
Greater Dodder, Cuscuta europaea, Convolvulaceae,"
Greater Dodder is a leafless parasitical vine with yellowish and pinkish
threadlike stems.  It attaches itself to some other plant, as to flax,
goldenrod, etc., and decaying at the root, is nourished by the plant
that supports it. The flowers are small, waxy and arranged in globular
heads. Greater dodder is observed to twine on different plant species. In
India it occurs in temperate Himalaya from Kashmir to Sikkim up to an
altitude of 3600 m. Greater dodder is now considered an emerging threat
to plant diversity of Valley of Flowers"
Guar,Cyamopsis tetragonoloba,Fabaceae," The guar bean or cluster bean is an annual legume and the source of guar 
gum. A bushy, upright herb reaching up to 3 m in height. It has a vigorous 
root system. The stiff branches have white hairs and trifoliate leaves.  
The flowers are white or pink and the pods are straight, hairy, pale green 
and up to 10 cm long. It is grown for gum production. The young tender 
pods can be eaten as vegetables and the seeds are used as livestock feed. 
The plant is also grown as a green manure or used as fodder. Seed flour is 
used to improve the strength of paper and stamps or in textile sizing and 
as a thickener in ice creams and salad dressings. A water-soluble natural 
resin is also obtained from the seeds and is used in the food, paper, 
mining and petroleum industries. "
Yellow Trailing Bellflower,Cyananthus flavus,Campanulaceae," Yellow Trailing Bellflower is a Himalayan
wildflower, with flowers various light shades of yellow or white.
Flowers are borne singly at branch-ends, subtended by a whorl-like
aggregation of 4 or 5 leaves. Flower-stalks are 1-2 cm, usually
hairless, rarely sparsely hairy. Calyx is hairless, except yellow hairy
inside sepals; tube broadly cylindrical, 8-12 mm, base rounded or flat,
enlarging in fruit. Sepals are triangular, 3-4 x about 3 mm. Flower are
2.5-3 cm, outside hairless, inside densely white- or yellow hairy at
throat. Petals are obovate-oblong or obovate-elliptic, 14-16 x 5-7 mm,
tip often very sparsely brown hairy. It is a plant with roots
carrot-shaped, up to 5 mm in diameter. Caudexes robust, multibranched,
covered with persistent scales toward tip; scales ovate, about 3 × 1
mm. Stems are ascending, 5.5-16 cm, simple or with short branches,
densely white hairy to nearly hairless. Leaves are alternate, gradually
increasing in size toward tip, stalkless or nearly so; blade elliptic,
obovate-lanceshaped, or broadly ovate, 5-16 × 3-8 mm, both surfaces
gray-white hairy or hairless, base wedge-shaped, margin entire or
sometimes slightly wavy, slightly recurved, tip pointed, blunt, or
rounded.  Capsules are nearly equal to calyx in length; style exceeding
flower tube. Yellow Trailing Bellflower is found in Eastern Himalayas,
in Arunachal Pradesh and Yunnan, China, at altitudes of 2700-3600 m.
Flowering: July-August.  
"
Trailing Bellflower,Cyananthus lobatus,Campanulaceae,"Trailing Bellflower is a perennial herb with bright
blue-purple flowers with a prominent sepal tube covered with black hairs.
Flowers are up to 3 cm across, petals obovate, spreading, flowers hairy
in the throat. Sepal tube is 1.5-2 cm long, lobed to one-third. Leaves are
1-2.5 cm long, deeply lobed. The plant has several stems, 10-25 cm long.
Trailing Bellflower is found in the Himalayas, from Himachal Pradesh to
SW China, at altitudes of 3300-4500 m. Flowering: July-September. "
Ascending Dew-Grass,Cyanotis adscendens,Commelinaceae," Ascending Dew-Grass flowers are borne in clusters
at the tips of flowering shoots. Cinicinni are elongate up to 2.5 cm,
straight to strongly curled, bract ususally shorter than the cincinnus.
Flowers are bisexual, sepals inverted-laceshaped, oblong or lanceshaped
oblong, 4.5-6 x 1-1.5 mm, pilose and sometimes ciliate the margins.
Corolla is 5-6 mm wide, pink to purple or reddish violet, petals with
white reflexed tips. Stamens are spreading 8-10 mm wide, filaments
densely bearded with pink to lavender hairs, anthers orange-yellow.
Style is nearly equal to the stamens.  Capsules are 2.5-3 x 2 mm, with
dark brown spots and short streaks. Leaf rosettes are perennial, root
tuberous. Flowering shoots are borne in leaf axils, 7-35 cm, sometimes
rooting at the nodes. Rosette leaves are spirally arranged. linear to
linear-lanceshaped, 10-15 cm long, 0.5-1 cm wide. Stem leaves are ovate
to lanceshaped-elliptic, 1-3 x 0.3-0.9 cm. Ascending Dew-Grass is found
in South India and Sri Lanka. "
Creeping Cradle Plant,Cyanotis axillaris,Commelinaceae,"
Creeping Cradle Plant is a creeping succulent herb, 15-45 cm, with erect 
tops. Stalkless, narrow, linear-lancelike leaves are 5-15 cm long. Violet 
blue flowers are 5-6 mm across, couched in inflated sheaths in each leaf 
axil. Petals are broadly ovate and the filaments are bearded with long blue 
hairs, which give the flowers a hairy appearance. It is a common weed of 
cultivations in the slopes and plains of the Western Ghats. It is found
throughout India, up to Eastern Himalayas. Flowering: August-October."
Burmann's Dew-Grass,Cyanotis burmanniana,Commelinaceae," Burmann's Dew-Grass is a small herb with stem
prostrate, sparsely hairy. Flowers are pale blue, sepals up to 5 x 1.5
mm, lanceshaped, united at base, hairy along margin; flower tube 4 mm,
petals lanceshaped; filaments bearded. Flowers are borne in stalked
cymes at branch-ends and in the axils of upper leaves. Bracts are 9 x 4
mm, broadly ovate, tapering, bracteole to 8 x 3 mm, wedge-shaped,
fringed with hairs, 4-8 pairs in cymes. Leaves are 2-4 x 1.5 cm,
lanceshaped, tip pointed, sparsely hairy on both sides; sheath up to 1
cm. Capsule ovoid, seeds yellowish-brown. Burmann's Dew-Grass is
endemic to Western Ghats. Flowering: August-December. 
"
Crested Dew-Grass,Cyanotis cristata, Commelinaceae,"
Crested Dew-Grass is a prostrate herb with erect or ascending branches, 15-30 cm long,
which are smooth or slightly hairy with subspreading hairs. Leaves ovate to
oblong, sessile, distant, acute to subobtuse, entire, 5-10 cm long, 1-1.5 cm
broad.  Flowers blue, usually in terminal clusters subtended by
ovate-falcate, 1.5 cm long, acute, folded spathes. Capsules 3-4 mm long,
trigonous, obtuse, membranous, nearly glabrous, usually 6-seeded.
Crested Dew-Grass is found in Most of tropical Asia and Africa, especially
on hills."
Sahyadri Dew-Grass,Cyanotis tuberosa,Commelinaceae," Sahyadri Dew-Grass is a succulent herb, 15-90 cm
high, growing in forests and hills of the Western Ghats. Stalkless,
sheathed leaves are 15-25 cm long, 1-2 cm wide, coming out from the
roots. Upper stem leaves are shorter. Bluish purple flowers occur in
cymes at the end of branches, enclosed in a pair of ovate, partially
folded bracts. There are six stamens with filaments densely bearded
with long blue hairs. Yellow anthers are prominent. Flowering:
August-September.  
"
Wandering Dew-Grass,Cyanotis vaga,Commelinaceae," Wandering Dew-Grass is a slender sparsely-branched
plant, with narrow-lanceshaped leaves often with long woolly hairs on
the sheaths. Flowers are small dark-blue, subtended by by long straight
or curved bracts. Flowers are about 1 cm across, in clusters in leaf
axils or at branch ends.  Stamen filaments have long white or blue
hairs. Bracts are hairy with with enlarged rounded bases. Leaves are
3-7.5 cm long, variably hairy. Stem is usually 8-30 cm long, often
tufted and rooting at the nodes. Wandering Dew-Grass is found in the
Himalayas, from Pakistan to SW China and Burma, at altitudes of
800-2700 m. Flowering: July-September. "
Peela Gangotra,Cyathocline lutea,Asteraceae," Peela gangotra is a rare, small, annual herb which
grows to only 10-20 cm high. It has slender erect stems. Stem leaves
are alternately arranged and are few in number. Most leaves are 2-4 cm
long, double-compound, forming a rosette on the ground. Flower-heads
occur in branched corymbose panicles, but are few in number.
Flower-heads are 3-4 mm across and bright yellow.  
"
Gangotra,Cyathocline purpurea, Asteraceae,"
Gangotra is an erect annual herb, growing to 20-50 cm high. Branched, grooved
stem has soft hair covering it. The whole plant is strongly aromatic.
Laternately arranged stalkless leaves are toothed, covered with soft hair, and
3-12 cm long. Flowers occur in corymbs at the end of branches. Flower heads
are 5-8 cm across, and purple in color. Widespread in Himalaya (Kashmir to
Bhutan), Assam, India, Burma, Thailand, Indo-China, China."
Roundhead Pastureweed,Cyathula capitata,Amaranthaceae," Roundhead Pastureweed is a perennial herb, 50-100 cm long. Stem is erect, 
dark purple or yellowish brown, nearly 4-angled, branched, hairy. Leaf 
stalks are 0.5-1.5 cm long, hairy. Leaves are broadly ovate or obovate-
oblong, 5-14 cm long, 3-7 cm wide, papery, both surfaces hairy with hairy 
margin, base wedge-shaped, tip with a tail-like end. Flowers are borne in  
spherical or ellipsoid clusters, 2-4 cm in diameter, simple or clustered 
in spikes. Stalk carrying the head is velvety. Bracts is 3-4 mm, hairless, 
long-pointed. Flower clusters at axils of bracts, with some perfect 
flowers and 1 or 2 unisexual ones. Tepals of perfect flowers dark purple, 
lanceolate, 3-4 mm; imperfect ones yellow, lanceshaped, about 3 mm, rigid, 
apex hooked. Seed pods are grayish yellow, ovate-oblong, about 3 mm, 
hairless. Seeds are shiny, ellipsoid, about 2 mm, smooth. Roundhead 
Pastureweed is found in the Himalayas, at altitudes of 1300-2900 m.
Flowering: Aug-September. "
Prostrate Pastureweed,Cyathula prostrata,Amaranthaceae," Prostrate Pastureweed is a perennial, slender herb,
prostrate below and rooting at the nodes, branches ascending, 50-100cm
long. Stem is dark purple or yellowish brown, branched, hairy. Leaf
stalks are 0.5-1.5 cm long, hairy. Leaves are opposite, up to 2-6cm
long, 1-3.5 cm wide, rhomboid-ovate to elliptic, velvet-hairy, pointed
at tip, wedge-shaped at base. Spikes at branch-ends on the stem and
branches; upto 30cm long. Flowers pale pink to violet, in clusters of
1-3 perfect flowers laterally subtended by imperfect flowers, upper
flowers solitary. Perianth of perfect flowers calycine, scarious,
5-lobed, the lobes tapering or with awns; of imperfect flowers reduced
to hooked rigid awns, segments upto 3mm long, elliptic-oblong,
3-nerved, apiculate, velvet-hairy. Hooked spines of imperfect flowers
are reddish, fasciculate. Stamens 5, the filaments fused below in a
hypogynous membranous cup, with intervening lacerate or 2-3 fid
staminodes; anthers 2-celled. Ovary obovoid, 1-celled; ovule solitary,
drooping from a long basal funicle; style simple, thread-like; stigma
capitellate. Fruit an ovoid membranous utricle enclosed in the perianth
, its tip aerolate. Seeds oblong, inverse; testa leathery; embryo
annular; cotyledons linear flat; radical erect.  
"
Woolly Pastureweed,Cyathula tomentosa,Amaranthaceae," Woolly Pastureweed is a deciduous shrub up to 3 m tall.
Stem and branches are densely gray hairy, swollen at nodes. Leaves are
elliptic, pointed to long-pointed, both surfaces densely velvety, base rounded.
Flower are greenish-white, in dense round heads 2.5-4 cm across. These round
flower-heads are arranged in spikes at branch ends or in leaf axils. The
lower parts of the spikes are interrupted.  Bracts are ovate, tip pointed.
Perfect flowers, 1-2 in each cluster, are surrounded by imperfect flowers
which are reduced to a single sepal with rigid hooked bristle-tip. 
Fruit is enclosed in the flower, with enlarged hooked tips.  Woolly Pastureweed
is found in the Himalayas, from Himachal Pradesh to W. China, at altitudes
of 1400-2400 m. Flowering: June-July.  "
Swamy Sago Palm,Cycas swamyi,Cycadaceae," Swamy Sago Palm is a plant with somewhat tree-like
stem, columnar or branched with a broad base, reaching 8 m in height,
26-96 cm in diameter. Two kinds of habit were observed in the natural
habitat: (1) plants having a columnar trunk with a maximum
circumference of 80–100 cm at the base and 60–70 cm at chest height;
(2) plants having an isotomous and decussate branched robust trunk with
a circumference of about 100–200 cm at the base, with each dichotomy
measuring 50–40 cm in circumference at chest height. A persistent
armour of leaf bases is found on the small plants, but those attaining
a height of 1.5 m or more mostly do not have a persistent armour of
leaf bases; instead they show a flatted bark pattern. Young plants of
50–75 cm in height have a broad base tapering distally. Leaves
pinnately compound, 0.75–1.5 m long, with 55–100 pairs of pinnae.
Developing leaves are covered with ferruginous hairs on the lower
surface. Mature pinnae lanceshaped, shiny dark green, 13–21 x 0.65– 0.9
cm, attachment of median pinnae on axis at 40–45°. Margin entire. Tip
spinescent. The median pinnae in the vertical section lack the
characteristic mucilage canals found in other species of Cycas from the
Western Ghats. Leaf-stalk 15–30 cm long with opposite or subalternate
pinnacanths. Pinnacanths 2–3 mm long. Microsporangiate cone oblong,
reddish- orange, about 50 cm long. Megasporophylls 12–25 cm long from
the base of the fertile stalk, bearing ovules up to the base of the
sterile tip. Sterile tip broadly trullate, 4–6 x 3–4.5 cm with 15–19
regular lateral teeth on either side. Swamy Sago Palm is indigenous to
south-eastern Karnataka.  
"
Exploding Cucumber,Cyclanthera brachystachya,Cucurbitaceae," Exploding Cucumber is a fast-growing vine with long
tendrils. Grows best with support, e.g. a trellis or arbor, but can be
left to grow along the ground. Once roots are established the vine will
grow in all directions, sending shoots up to 10-15 feet long. Leaves
are palmately lobed. Very small yellow flowers are formed in clusters
with male and female flowers forming separately on the same plant.
Female flowers are followed by spiny fruits growing up to 2 inches.
When mature the fruits show a subtle color change to green-white and
pop open, expelling their seeds several feet away. It is propagated by
its puzzle piece -shaped seed, and grown in conditions similar to other
cucurbits like cucumbers and melons. Exploding Cucumber is a native of
South America, widely cultivated in temperate climates. Cultivated in
the Himalayas in India. 
"
Stuffing Cucumber,Cyclanthera pedata,Cucurbitaceae," Stuffing Cucumber is a vine grown for its small fruit, used as a vegetable. 
The leaves are 4-5 inches wide and divided into several lobes. Flowers are 
small, pale green. It produces a pale green, semi-flattened fruit 
resembling a cucumber that is 4-6 inches long and 2-3 inches wide. The 
immature fruits may be eaten raw or pickled. The young shoots and leaves 
may also be eaten as greens. The mature fruit are also prepared as stuffed 
peppers; stuffed with meat, fish or cheese and then baked - earning it's 
name ""Stuffing Cucumber."" "
Fir-Leaved Celery,Cyclospermum leptophyllum,Apiaceae," Fir-Leaved Celery is an annual herb, diffusely branching, 5-60 cm tall. 
Leaves are oblong-ovate in outline, 3.5-10 cm long, 3.5-8 cm wide, 
multiply-divided into threadlike segments 1.5-7 mm long, 0.5-1 mm wide. 
Leaves are carried on stalks 2.5-11 cm long. White flowers are borne in 
compound umbels or some simple, umbels 15-20-flowered. Involucre and 
involucel are lacking. Rays are up to 2 cm long. Fruit is ovoid, 1.2-3 mm 
long, 1.5-2 mm broad. Fir-Leaved Celery is a pantropic weed with origin 
unknown.

Plant has finely divided, alternate leaves. Flowers in umbels, 2-3 umbels arising from the one axil - carrot-like. Petals white; fruit with 2 ribbed segments. "
Quince,Cydonia oblonga,Rosaceae," Quince is native to warm-temperate southwest Asia
in the Caucasus region. It is a small, deciduous tree, growing 5-8 m
tall and 4-6 m wide, related to apples and pears, and like them has a
pome fruit, which is bright golden yellow when mature, pear-shaped,
7-12 cm long and 6-9 cm broad. The immature fruit is green with dense
grey-white pubescence, most of which rubs off before maturity in late
autumn when the fruit changes colour to yellow with hard, strongly
perfumed flesh. The leaves are alternately arranged, simple, 6-11 cm
long, with an entire margin and densely pubescent with fine white
hairs. The flowers, produced in spring after the leaves, are white or
pale pink, 5 cm across, with five petals. 
Commonly cultivated in Kashmir. Best consumed after roasting, baking or
as stew. Also used in jams, jellies or as pudding.  "
Arizona Pencil Cholla,Cylindropuntia arbuscula,Cactaceae," Arizona Pencil Cholla is a tree or shrub growing up to
3 m tall. The stems are 6-11 cm long by 0.5-3 cm wide with 0-2 spines
per areole. The spines, which often point downward, are yellow or
red-brown, aging black, with yellowish sheaths. The plant has small
flowers that can be green to pale reddish-orange. The filaments are
dark green to bronze. Style is white and sometimes light orange
distally. The stigma is pale green. The fruits are green, fleshy, and
mostly spineless. Arizona Pencil Cholla is native to Arizona, Mexico. 
"
Bush Pencil Cholla,Cylindropuntia arbuscula,Cactaceae," Bush Pencil Cholla is an interesting cactus native
to Arizona, in the American continent. It has small flowers; flowers
may be chartreuse, pale reddish-orange, or mixtures with bronze. Inner
tepals are green- or orange-bronze, spoon-shaped, 1.7-2.0 cm,
apiculate; filaments dark green-bronze; anthers yellow; style whitish
basally to light orange apically; stigma lobes very pale green. Stems
are light green in color and very thin, usually no wider than 1.5 cm.
Spines are yellow-brown in color, up to 1.5 inches long and point
downwards; there are between 0 and 3 per areole. The lack of spines on
some areoles is an identifying feature. Mature plants reach heights of
4 feet, with hundreds of branches 2-5 inches long, sprouting from an
upright trunk.	
"
Branched Pencil Cholla,Cylindropuntia ramosissima,Cactaceae," Branched Pencil Cholla is a decumbent or erect and
tree-like cactus which can approach 6 ft in maximum height. It has many
narrow branches made up of cylindrical segments, green in color drying
gray, the surface divided into squarish, flat tubercles with few or no
spines, or often with a single long, straight spine. The flowers range
from pale yellow to rosy-pink with pale green filaments and white,
rose, or light green styles. The fruit is a small, dry, very spiny body
up to 2 cm long. Branched Pencil Cholla is native to the Mojave and
Sonoran Deserts of the Southwestern United States.  
"
Kenilworth Ivy,Cymbalaria muralis,Plantaginaceae,"
A common plant of mortared stone or brick walls, originally from Italy,
that was a staple of old English gardens, but is somewhat overlooked today.
Nearly always occurs on the vertical face of a wall, forming a
dense mass of leafage from which reddish stems snake out in all directions -
the species epithet muralis means ""of walls"".
The flowers are like miniature dog flowers,
usually pale blue with yellow 'bosses' at the entrance to the throat;
occasionally white. Flowers are produced abundantly from spring to autumn, and
often through the winter in mild places. Leaves are almost fleshy, 5-lobed, like
ivy, varying (as ivy does) in the degree and sharpness of the divisions.
A charming plant useful in a rock garden, as a groundcover, in a hanging
basket, or trailing over a bank. "
Cymbidium Valya Craig,Cymbidium Balkis X Cymbidium Cariga,Orchidaceae," Cymbidium Valya Craig 'Sutherland' is a cymbidium hybrid that blooms from 
late winter through summer. It had a very unique color contrast of medium 
yellow sepals and petals with a suffuse rose-red lip.  
Flowering: March-April. "
Two-Colored Cymbidium,Cymbidium bicolor,Orchidaceae," Two-Colored Cymbidium is an epiphytic orchid, found in NE India and SE 
Asia, at elevations of 800-1100 m. It The plant has ellipsoid, laterally 
compressed pseudobulbs carrying thick leathery strap-shaped leaves. The 
thick leaves store water and can tolerate drought and direct sunlight.  
The plant blooms in the spring and summer on a 2.5 ft long, raceme-like 
scape that can be arched or hanging, with up to 26, fragrant flowers. 
Flowers have brown scarious basal sheaths. This species likes even year 
round conditions that are humid, warm and with regular fertilizer.  "
